일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023-02-28,60600,100,0.17,60800,61400,60500,13715861,8.35E+11,3.62E+14,5969782550
2023-02-27,60500,-800,-1.31,60800,60800,60200,11155697,6.74E+11,3.61E+14,5969782550
2023-02-24,61300,-700,-1.13,62300,62600,61300,10308143,6.39E+11,3.66E+14,5969782550
2023-02-23,62000,900,1.47,61700,62500,61500,13047099,8.09E+11,3.70E+14,5969782550
2023-02-22,61100,-1000,-1.61,61500,61800,61000,11959088,7.32E+11,3.65E+14,5969782550
2023-02-21,62100,-600,-0.96,62700,62800,62000,7665046,4.77E+11,3.71E+14,5969782550
2023-02-20,62700,100,0.16,62900,63000,61800,12908073,8.06E+11,3.74E+14,5969782550
2023-02-17,62600,-1100,-1.73,62900,63300,62400,10791265,6.78E+11,3.74E+14,5969782550
2023-02-16,63700,1500,2.41,62500,63700,62400,13798831,8.74E+11,3.80E+14,5969782550
2023-02-15,62200,-1000,-1.58,63900,63900,62000,13208103,8.26E+11,3.71E+14,5969782550
2023-02-14,63200,300,0.48,63600,63900,63200,9126664,5.80E+11,3.77E+14,5969782550
2023-02-13,62900,100,0.16,62900,63000,62300,10730362,6.72E+11,3.75E+14,5969782550
2023-02-10,62800,-200,-0.32,62600,63000,62400,9382576,5.88E+11,3.75E+14,5969782550
2023-02-09,63000,-100,-0.16,63000,63300,62300,12164865,7.65E+11,3.76E+14,5969782550
2023-02-08,63100,1200,1.94,62800,63300,62400,12243125,7.70E+11,3.77E+14,5969782550
2023-02-07,61900,300,0.49,61900,62500,61600,14491039,8.99E+11,3.70E+14,5969782550
2023-02-06,61600,-2200,-3.45,62800,63000,61600,15529356,9.68E+11,3.68E+14,5969782550
2023-02-03,63800,300,0.47,63900,64000,63000,15194598,9.67E+11,3.81E+14,5969782550
2023-02-02,63500,1700,2.75,63200,63900,62600,23285983,1.47E+12,3.79E+14,5969782550
2023-02-01,61800,800,1.31,62600,62700,61000,18570133,1.15E+12,3.69E+14,5969782550
2023-01-31,61000,-2300,-3.63,63500,63700,61000,29746731,1.84E+12,3.64E+14,5969782550
2023-01-30,63300,-1300,-2.01,64900,64900,63100,20995234,1.34E+12,3.78E+14,5969782550
2023-01-27,64600,700,1.1,64400,65000,63900,18760182,1.21E+12,3.86E+14,5969782550
2023-01-26,63900,500,0.79,63800,63900,63300,13278277,8.46E+11,3.81E+14,5969782550
2023-01-25,63400,1600,2.59,63500,63700,63000,16822710,1.07E+12,3.78E+14,5969782550
2023-01-20,61800,300,0.49,62100,62300,61100,9646327,5.95E+11,3.69E+14,5969782550
2023-01-19,61500,1100,1.82,60500,61500,60400,12808490,7.82E+11,3.67E+14,5969782550
2023-01-18,60400,-600,-0.98,60700,61000,59900,11584041,6.99E+11,3.61E+14,5969782550
2023-01-17,61000,-100,-0.16,61200,61500,60600,9831456,6.00E+11,3.64E+14,5969782550
2023-01-16,61100,300,0.49,61300,61600,60800,10039972,6.15E+11,3.65E+14,5969782550
2023-01-13,60800,300,0.5,60500,61200,60400,12510328,7.61E+11,3.63E+14,5969782550
2023-01-12,60500,0,0,61100,61200,59900,16102561,9.72E+11,3.61E+14,5969782550
2023-01-11,60500,100,0.17,61000,61200,60300,12310751,7.47E+11,3.61E+14,5969782550
2023-01-10,60400,-300,-0.49,60200,61100,59900,14859797,8.99E+11,3.61E+14,5969782550
2023-01-09,60700,1700,2.88,59700,60700,59600,18640107,1.12E+12,3.62E+14,5969782550
2023-01-06,59000,800,1.37,58300,59400,57900,17334989,1.02E+12,3.52E+14,5969782550
2023-01-05,58200,400,0.69,58200,58800,57600,15682826,9.12E+11,3.47E+14,5969782550
